9038,140,3443,20 years with AOD!,1727811447
9056,140,3469,20 years with AOD!,1734901320
8582,140,34445,20 years with AOD!,1689421827
8583,140,34478,20 years with AOD!,1689421909
8593,140,4587,20 years with AOD!,1690641414
4605,140,3419,"",1576107907
4606,140,17242,"",1576172475
4607,140,3407,"",1576172484
4096,139,3427,Member has been in AOD for at least 15 years.,1561550956
4097,139,17242,Member has been in AOD for at least 15 years.,1561550975
4098,139,3438,Member has been in AOD for at least 15 years.,1561551001
4100,139,34445,Member has been in AOD for at least 15 years.,1561551051
4101,139,3443,Member has been in AOD for at least 15 years.,1561551060
4103,139,34478,Member has been in AOD for at least 15 years.,1561551092
4106,139,3543,Member has been in AOD for at least 15 years.,1561551174
4633,139,3469,Member has been in AOD for at least 15 years.,1576851622
9025,139,7229,15 YEARS IN AOD!,1723231542
5978,139,48618,"",1598203198
9057,139,8162,15 years in AOD!,1735000411
6576,139,3510,15 years daaaayyuumm,1609963498
7107,139,3716,Member has been in AOD for at least 15 years.,1621794255
7111,139,3510,Member has been in AOD for at least 15 years.,1621794507
7113,139,4587,Member has been in AOD for at least 15 years.,1621794674
8926,139,8997,Congrats on the milestone sir!,1715001240
4094,139,3407,Member has been in AOD for at least 15 years.,1561550911
4095,139,3419,Member has been in AOD for at least 15 years.,1561550940
8451,19,21842,10 years with AOD! Congrats!,1678573876
8452,19,21703,10 years with AOD! congrats!,1678573999
8453,19,21805,10 years with AOD! Congrats!,1678574115
8454,19,22083,10 years with AOD! Congrats!,1678579719
784,19,34478,"",1430860635
8214,19,20004,10 Years With AOD!!!!,1660936280
7449,19,15725,"",1628969509
8994,19,30720,10 years with AOD!,1719849552
8740,19,27205,10 Years with AOD! Congratulations!,1704068034
811,19,3510,"",1434069936
8493,19,17730,"",1682732291
50,19,3427,"",1387810201
51,19,3407,"",1387810247
8755,19,27320,10 years with AOD!,1705759558
52,19,3419,"",1387810270
8756,19,21439,10 years with AOD!,1705760108
8757,19,21441,10 years with AOD!,1705760213
8760,19,25996,Congratulations from the whole Planetside Division,1706405389
5958,19,10502,Congratulations! Thanks for being in the family for 10 years.,1597946115
9032,19,31832,Congratulations sir! An old fashioned shall be had in honor!,1725973058
9043,19,32509,For being Old and Awesome in AOD for 10 freakin years!!!!!,1729792025
9046,19,32515,"",1732324855
9048,19,32795,10 years!,1732482907
9052,19,33044,Congratulations on 10 years in AOD!,1733347696
94,19,3443,"",1387810889
8798,19,28093,10 years! Congrats!,1712329555
8031,19,20285,10 years with AOD!,1652494128
7776,19,17836,10 years of service.,1639760348
99,19,3543,"",1387810961
100,19,3438,"",1387810969
5989,19,11137,"10 Big Years, YAY!",1598553705
3693,19,34445,have fun,1545056126
8564,19,19955,You've been here over 10 years!,1688124782
8322,19,21068,10 Years with AOD! Congratulations!,1668648531
8323,19,20923,10 Years with AOD! Congratulations!,1668738696
8836,19,21824,10 years of service.,1712628347
8581,19,24241,10 years with AOD!,1689421706
3464,19,7229,10 years with AOD!  Hot damn!,1535758095
3726,19,8162,"",1545946971
405,19,3469,10 Years!,1414107816
8862,19,27004,"",1714151623
8863,19,27416,"",1714151651
8874,19,27590,"10 years as a member and the longest CO!

Keep on rockin' sky bison.",1714427310
8400,19,24693,10 years! Congrats!,1676352797
7121,19,15936,10 Years with AOD! Congratulations!,1621795229
8402,19,26633,10 YEARS!,1676352847
